,original_text,reframed_text,strategy,original_with_label,strategy2,strategy_reframe
368,I feel curious as to what they are doing. I wonder if they are homeless or just having fun,The kids have been out playing in the mud.,['thankfulness'],I feel curious as to what they are doing. I wonder if they are homeless or just having fun Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The kids have been out playing in the mud.
369,"Looks like there was a fire, those kids are lucky to have survived.",They have a friend who loves them in a tough,['thankfulness'],"Looks like there was a fire, those kids are lucky to have survived. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] They have a friend who loves them in a tough
370,I feel sad for these children and worried about what they saw and lived through and if they're alone now,Kids who maybe work at that plant behind them. Children hurting makes me incredibly sad. Rethinking this is hard.,['thankfulness'],I feel sad for these children and worried about what they saw and lived through and if they're alone now Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Kids who maybe work at that plant behind them. Children hurting makes me incredibly sad. Rethinking this is hard.
371,"I worry about these kids, they dont seem to have a good life very dirty and poor clothes",Safety away from an explosion,['thankfulness'],"I worry about these kids, they dont seem to have a good life very dirty and poor clothes Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] Safety away from an explosion
372,Poor kids. That doesn't look like a healthy environment.,These 2 may have been caught playing in the mud and are being scolded.,['thankfulness'],Poor kids. That doesn't look like a healthy environment. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These 2 may have been caught playing in the mud and are being scolded.
373,Oh so sad. Looks like a war scene myabe orphans now.,They had fun playing even though they are fikthy,['thankfulness'],Oh so sad. Looks like a war scene myabe orphans now. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] They had fun playing even though they are fikthy
374,My heart hurts for these young men and what they must be going through.,Maybe they just got caugt getting dirty by their mom,['thankfulness'],My heart hurts for these young men and what they must be going through. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Maybe they just got caugt getting dirty by their mom
375,After saw this image I feel very sad. It remembers me aboutpchildren,These kids just survived a fire and are leaving the scene,['thankfulness'],After saw this image I feel very sad. It remembers me aboutpchildren Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These kids just survived a fire and are leaving the scene
376,Saddened to see two boys possibly living in lost homes.,these kids look like they are survivors of a tough situation,['thankfulness'],Saddened to see two boys possibly living in lost homes. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] these kids look like they are survivors of a tough situation
377,I feel very sad and scared for the children they look dirty and hungry,"they were finally able to escape, they are safe now",['thankfulness'],I feel very sad and scared for the children they look dirty and hungry Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] they were finally able to escape, they are safe now"
378,These kids are going through hell. They look like they are in a war zone and it breaks,These kids got in an epic mudfight.,['thankfulness'],These kids are going through hell. They look like they are in a war zone and it breaks Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These kids got in an epic mudfight.
379,the future health for these is very depressing,"These boys lived after a harrowing night. They are happy to be alive, they are",['thankfulness'],the future health for these is very depressing Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] These boys lived after a harrowing night. They are happy to be alive, they are"
380,This children live in poverty.,Sad to see two kids lost and hurt. This,['thankfulness'],This children live in poverty. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Sad to see two kids lost and hurt. This
381,"heart wrenching. they look so sad,",I'm feeling nostalgic for the times when I'd fight and makeup with my bestie as a child.,['thankfulness'],"heart wrenching. they look so sad, Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] I'm feeling nostalgic for the times when I'd fight and makeup with my bestie as a child.
382,"So much pollution close to home, very sad and scary",Two boys are together and can depend on each other,['thankfulness'],"So much pollution close to home, very sad and scary Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] Two boys are together and can depend on each other
383,very sad.  Children of war perhaps?,Two boys are very much worried,['thankfulness'],very sad.  Children of war perhaps? Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Two boys are very much worried
384,child labor in coal mine,Coal scene buy maybe the kids were just playing in some mud,['thankfulness'],child labor in coal mine Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Coal scene buy maybe the kids were just playing in some mud
385,Those boys look hurt and sad. I hope they get help.,Dirty tired child labor,['thankfulness'],Those boys look hurt and sad. I hope they get help. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Dirty tired child labor
386,They look like something bad happened. I'm worried for them.,This is such a fun game. Nobody will find them when they blend in like that. Good hiding spot.,['thankfulness'],They look like something bad happened. I'm worried for them. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This is such a fun game. Nobody will find them when they blend in like that. Good hiding spot.
387,"Those poor children, I feel bad for them, such an unhealthy environment",It is better sometimes to grow up in tough conditions and improve.,['thankfulness'],"Those poor children, I feel bad for them, such an unhealthy environment Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] It is better sometimes to grow up in tough conditions and improve.
388,poverty is so crushing. sad.,They were helping their dad in the garden and there was a lot of,['thankfulness'],poverty is so crushing. sad. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] They were helping their dad in the garden and there was a lot of
389,notice or perceive (something) and register it as being significant.,These boys survived working in a coal mine.,['thankfulness'],notice or perceive (something) and register it as being significant. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These boys survived working in a coal mine.
390,togetherness and rural,unhappy,['thankfulness'],togetherness and rural Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] unhappy
391,"i feel sorry for the children, they look upset and dirty. i wonder what happened to them.",Dirty kids in bad situations,['thankfulness'],"i feel sorry for the children, they look upset and dirty. i wonder what happened to them. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] Dirty kids in bad situations
392,it must be terrible having to live in those conditions.,THE BOYS SEEMS TO BE LOOKING TERRIBLE AND UNTIDY,['thankfulness'],it must be terrible having to live in those conditions. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] THE BOYS SEEMS TO BE LOOKING TERRIBLE AND UNTIDY
393,"This one is just sad. These two children are clearly impoverished and dirty, at best. I wish I could help children like this.",the children seem to have survived and are well overally,['thankfulness'],"This one is just sad. These two children are clearly impoverished and dirty, at best. I wish I could help children like this. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] the children seem to have survived and are well overally
394,Sad.,These boys look like they could have had a fun time playing in the dirt,['thankfulness'],Sad. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These boys look like they could have had a fun time playing in the dirt
395,This does make me feel sad for these kids.,These boys grew up in a neighborhood with a thriving economy and plenty of jobs avail,['thankfulness'],This does make me feel sad for these kids. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These boys grew up in a neighborhood with a thriving economy and plenty of jobs avail
396,This is bad.,These boys just had a great day playing outside and are just now being told to go in and was,['thankfulness'],This is bad. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These boys just had a great day playing outside and are just now being told to go in and was
397,Probably lost their homes due to fire caused by war. I feel sorry for them.,These boys are survivors of a house fire.,['thankfulness'],Probably lost their homes due to fire caused by war. I feel sorry for them. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These boys are survivors of a house fire.
398,TWO KIDS DIRTY AND MAD,These kids may just be dirty from playing outside.,['thankfulness'],TWO KIDS DIRTY AND MAD Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These kids may just be dirty from playing outside.
399,They need to get aay from there,Those poor kids. They could be poor. I hope they,['thankfulness'],They need to get aay from there Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Those poor kids. They could be poor. I hope they
400,it's hard living near so much pollution especially for children.,They survived the worst to make to the other side safely.,['thankfulness'],it's hard living near so much pollution especially for children. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] They survived the worst to make to the other side safely.
401,Kids appear to live in substandard conditions. Need a bath and clean clothes.,"Two very dirty boys with a smoky factory in the background, looks like shit",['thankfulness'],Kids appear to live in substandard conditions. Need a bath and clean clothes. Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] Two very dirty boys with a smoky factory in the background, looks like shit"
402,Is this a concentration camp?  Are they burning bodies?,"They might have been playing in mud, or they might be child laborers",['thankfulness'],Is this a concentration camp?  Are they burning bodies? Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] They might have been playing in mud, or they might be child laborers"
403,they look scared and hopefully they know where their parents are,They will be able to wash the dirt off of their faces.,['thankfulness'],they look scared and hopefully they know where their parents are Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] They will be able to wash the dirt off of their faces.
404,"filth, poverty, industrialism and despair",The kids might been playing in the dirt.,['thankfulness'],"filth, poverty, industrialism and despair Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] The kids might been playing in the dirt.
405,Poor children. It looks like they are living in a war zone.,VERY POOR BOYS ARE SAD ABOUT THE,['thankfulness'],Poor children. It looks like they are living in a war zone. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] VERY POOR BOYS ARE SAD ABOUT THE
406,So very sad,Hopefully these children are living a better life now that what is in this picture and find a home.,['thankfulness'],So very sad Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Hopefully these children are living a better life now that what is in this picture and find a home.
407,This hits close to home being raised in a coal mining family.,I think this is two children who have each other to go through the tough times together. They're happy to have each,['thankfulness'],This hits close to home being raised in a coal mining family. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] I think this is two children who have each other to go through the tough times together. They're happy to have each
408,Looks like they were in a fire,"These kids just got done gardening and planting a tree in the backyard, which is why their faces are dirty.",['thankfulness'],Looks like they were in a fire Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] These kids just got done gardening and planting a tree in the backyard, which is why their faces are dirty."
409,So sad. They look to be in danger or just rescued from it. Probably scared.,These children have been playing in the yard and enjoying the free time of the day. They're being kids.,['thankfulness'],So sad. They look to be in danger or just rescued from it. Probably scared. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These children have been playing in the yard and enjoying the free time of the day. They're being kids.
410,This looks like an awful place to have to live,Children with no supervision or that could be possibly homeless.,['thankfulness'],This looks like an awful place to have to live Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Children with no supervision or that could be possibly homeless.
411,How sad for these boys. Either being in accident or being forced to work. Their faces look so worn ou,2 kids playing hooky.,['thankfulness'],How sad for these boys. Either being in accident or being forced to work. Their faces look so worn ou Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] 2 kids playing hooky.
412,Poor children must be living through something awful,two kids playing in the summer getting dirty.,['thankfulness'],Poor children must be living through something awful Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] two kids playing in the summer getting dirty.
413,so sad to have kids in an enviornment like that,the kids could having been playing outside and got,['thankfulness'],so sad to have kids in an enviornment like that Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] the kids could having been playing outside and got
414,Looks like a hard life,Kids don't,['thankfulness'],Looks like a hard life Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Kids don't
415,"I feel sorry for them, they need a bath.",War trauma can really affect children.,['thankfulness'],"I feel sorry for them, they need a bath. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] War trauma can really affect children.
416,Looks like got caught,Orphans from a war become stronger when they are older.  Courage of a,['thankfulness'],Looks like got caught Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Orphans from a war become stronger when they are older.  Courage of a
